index name,0,1,2,3,4,5,6,7,8
SSelect_theta(0.001)_namuda(0.0),8,4,0,1,6,5,7,3,2
SSelect_theta(0.001)_namuda(0.1),8,4,1,5,6,7,0,3,2
SSelect_theta(0.001)_namuda(0.2),8,4,1,5,6,7,0,3,2
SSelect_theta(0.001)_namuda(0.30000000000000004),8,4,1,6,5,0,7,3,2
SSelect_theta(0.001)_namuda(0.4),8,4,1,6,0,5,7,3,2
SSelect_theta(0.001)_namuda(0.5),8,4,1,5,0,7,6,3,2
SSelect_theta(0.001)_namuda(0.6000000000000001),8,4,1,0,5,6,7,3,2
SSelect_theta(0.001)_namuda(0.7000000000000001),8,4,1,5,7,6,0,3,2
SSelect_theta(0.001)_namuda(0.8),8,4,1,6,5,7,0,3,2
SSelect_theta(0.001)_namuda(0.9),8,4,0,1,5,6,7,3,2
SSelect_theta(0.001)_namuda(1.0),8,7,6,5,4,3,2,1,0
SSelect_theta(0.01)_namuda(0.0),8,4,0,1,5,7,6,3,2
SSelect_theta(0.01)_namuda(0.1),8,4,1,0,5,6,7,3,2
SSelect_theta(0.01)_namuda(0.2),8,4,1,6,5,7,0,3,2
SSelect_theta(0.01)_namuda(0.30000000000000004),8,4,1,6,0,5,7,3,2
SSelect_theta(0.01)_namuda(0.4),8,4,1,6,0,5,7,3,2
SSelect_theta(0.01)_namuda(0.5),8,4,1,6,5,7,0,3,2
SSelect_theta(0.01)_namuda(0.6000000000000001),8,4,1,6,0,5,7,3,2
SSelect_theta(0.01)_namuda(0.7000000000000001),8,4,1,6,5,7,0,3,2
SSelect_theta(0.01)_namuda(0.8),8,4,0,1,5,7,6,3,2
SSelect_theta(0.01)_namuda(0.9),8,4,1,5,3,7,6,0,2
SSelect_theta(0.01)_namuda(1.0),3,5,6,0,2,4,1,8,7
SSelect_theta(0.1)_namuda(0.0),8,4,1,5,6,7,0,3,2
SSelect_theta(0.1)_namuda(0.1),8,4,1,6,5,7,0,3,2
SSelect_theta(0.1)_namuda(0.2),8,4,1,6,0,5,7,3,2
SSelect_theta(0.1)_namuda(0.30000000000000004),8,4,0,1,6,5,7,3,2
SSelect_theta(0.1)_namuda(0.4),8,4,1,5,7,0,6,3,2
SSelect_theta(0.1)_namuda(0.5),8,4,1,6,5,7,0,3,2
SSelect_theta(0.1)_namuda(0.6000000000000001),8,4,0,1,6,5,7,3,2
SSelect_theta(0.1)_namuda(0.7000000000000001),8,4,1,6,0,5,7,3,2
SSelect_theta(0.1)_namuda(0.8),8,4,1,5,0,7,6,3,2
SSelect_theta(0.1)_namuda(0.9),8,4,0,1,6,5,3,7,2
SSelect_theta(0.1)_namuda(1.0),8,0,3,4,1,5,6,2,7
SSelect_theta(1)_namuda(0.0),8,4,1,6,5,7,0,3,2
SSelect_theta(1)_namuda(0.1),8,4,0,1,5,6,7,3,2
SSelect_theta(1)_namuda(0.2),8,4,1,0,5,6,7,3,2
SSelect_theta(1)_namuda(0.30000000000000004),8,0,4,1,5,6,3,7,2
SSelect_theta(1)_namuda(0.4),8,0,4,1,6,5,3,7,2
SSelect_theta(1)_namuda(0.5),8,0,4,1,3,5,7,6,2
SSelect_theta(1)_namuda(0.6000000000000001),8,0,4,1,3,5,6,7,2
SSelect_theta(1)_namuda(0.7000000000000001),8,0,4,1,3,5,7,6,2
SSelect_theta(1)_namuda(0.8),8,0,4,3,1,5,6,7,2
SSelect_theta(1)_namuda(0.9),8,0,4,3,1,5,7,6,2
SSelect_theta(1)_namuda(1.0),8,0,3,4,1,5,7,6,2
SSelect_theta(10)_namuda(0.0),8,4,0,1,5,6,7,3,2
SSelect_theta(10)_namuda(0.1),8,4,5,1,7,6,0,3,2
SSelect_theta(10)_namuda(0.2),8,4,5,7,1,0,3,6,2
SSelect_theta(10)_namuda(0.30000000000000004),8,5,4,7,1,0,3,6,2
SSelect_theta(10)_namuda(0.4),8,5,4,7,0,1,3,6,2
SSelect_theta(10)_namuda(0.5),8,5,4,7,0,1,3,6,2
SSelect_theta(10)_namuda(0.6000000000000001),8,5,4,7,3,0,1,6,2
