index name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
SSelect_theta(0.001)_namuda(0.0),41,56,63,39,60,64,55,8,32,78,95,86,45,17,97,57,52,88,99,38,28,48,83,84,94,19,16,9,92,51,47,50,79,43,81,35,40,37,85,1,5,42,18,12,15,33,29,27,25,23,21,24,0,54,58,59,61,82,91,77,44,74,69,75,73,72,71,70,68,67,66,65,62,76,10,31,89,7,13,6,80,49,20,30,22,53,36,3,87,96,98,26,2,90,93,4,34,11,14,46
SSelect_theta(0.001)_namuda(0.1),41,63,60,39,56,64,78,17,8,32,97,86,45,57,95,55,10,88,52,28,38,48,83,99,92,19,16,94,47,84,51,50,9,34,40,35,43,79,81,85,37,1,5,42,12,15,33,18,21,23,25,27,29,24,0,54,58,59,61,91,82,77,44,69,75,74,73,72,71,70,76,68,67,66,65,62,31,89,13,7,80,6,22,20,30,53,49,36,87,26,90,98,93,4,3,2,96,11,46,14
SSelect_theta(0.001)_namuda(0.2),60,63,64,39,41,56,78,57,45,86,8,17,95,32,97,55,10,88,52,99,38,83,28,51,34,50,47,16,84,92,19,94,9,79,81,35,40,43,37,85,5,1,42,24,15,12,25,18,33,29,21,27,23,0,77,82,91,54,58,59,61,44,76,70,69,68,73,62,67,66,65,72,74,75,71,31,13,89,7,80,6,22,49,20,30,48,53,36,87,90,26,98,93,4,3,2,96,11,14,46
SSelect_theta(0.001)_namuda(0.30000000000000004),64,63,60,39,41,56,86,55,17,78,57,45,32,8,95,97,88,10,52,83,38,48,99,51,50,34,47,92,16,84,94,19,9,43,40,35,79,81,85,37,42,5,1,24,15,12,25,18,33,21,29,27,23,0,77,54,58,59,61,91,82,44,68,73,70,69,74,65,67,66,72,62,75,76,71,31,14,13,89,80,7,6,22,49,20,28,30,53,36,26,87,90,98,93,4,3,2,96,11,46
SSelect_theta(0.001)_namuda(0.4),60,63,64,39,41,56,78,57,45,86,8,17,95,32,97,55,10,88,52,99,38,83,28,51,34,50,47,16,84,92,19,94,9,79,81,35,40,43,37,85,5,1,42,24,15,12,25,18,33,29,21,27,23,0,77,91,54,58,59,61,82,44,74,73,70,69,68,62,67,66,65,72,75,76,71,31,14,13,80,89,7,6,22,49,20,30,53,48,36,26,87,90,98,93,4,3,2,96,11,46
SSelect_theta(0.001)_namuda(0.5),63,60,64,39,41,56,57,86,78,55,8,32,95,17,97,88,52,10,99,38,83,28,45,51,50,47,19,94,92,9,16,89,84,35,43,40,81,79,37,85,15,23,12,33,29,18,27,5,25,1,42,24,21,0,91,54,58,59,61,82,77,44,66,68,76,73,72,71,70,69,74,67,75,65,62,31,80,13,7,6,22,49,20,48,53,30,36,87,90,26,98,93,4,3,2,96,14,34,11,46
SSelect_theta(0.001)_namuda(0.6000000000000001),60,63,64,39,41,56,78,57,45,86,8,17,95,32,97,55,10,88,52,99,38,83,28,51,34,50,47,16,84,92,19,94,9,79,81,35,40,43,37,85,5,1,42,24,15,12,25,18,33,29,21,27,23,0,77,82,91,54,58,59,61,44,76,70,69,68,73,62,67,66,65,72,74,75,71,31,13,89,7,80,6,22,49,20,30,48,53,36,87,90,26,98,93,4,3,2,96,11,14,46
SSelect_theta(0.001)_namuda(0.7000000000000001),56,64,39,60,41,63,45,55,8,78,86,95,32,97,57,52,10,88,38,99,83,28,47,51,50,94,19,92,16,9,84,43,35,79,81,40,85,21,12,1,5,15,42,24,33,18,29,27,25,23,0,77,54,58,59,61,82,91,44,68,75,74,72,71,70,69,73,67,76,66,65,62,31,14,89,80,7,17,6,13,48,20,30,53,22,49,36,87,26,98,93,4,3,2,96,90,34,11,46,37
SSelect_theta(0.001)_namuda(0.8),41,64,63,39,56,60,78,32,86,17,57,8,55,95,45,97,88,52,28,99,48,83,84,50,19,51,47,94,92,9,89,16,43,40,79,35,81,37,85,42,1,18,21,24,25,27,5,33,29,15,12,23,0,54,58,59,61,77,91,82,44,73,68,74,72,71,70,69,66,67,75,65,62,76,31,10,13,80,7,6,49,20,38,30,53,22,36,96,2,3,4,93,90,87,26,98,34,11,14,46
SSelect_theta(0.001)_namuda(0.9),63,56,64,41,60,39,17,97,45,95,32,55,8,57,78,86,10,88,52,38,99,48,83,19,50,47,51,94,92,16,9,84,81,43,40,79,35,37,85,15,18,12,33,29,5,42,27,25,24,21,1,23,0,54,58,59,61,77,82,91,44,73,69,74,72,71,70,67,68,75,66,65,62,76,31,89,13,7,80,6,49,20,28,30,22,53,36,96,2,3,4,93,90,87,26,98,34,11,14,46
SSelect_theta(0.001)_namuda(1.0),99,36,26,27,28,29,30,31,32,33,34,35,37,98,38,39,40,41,42,43,44,45,46,47,25,24,23,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,48,49,50,75,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,76,74,51,73,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,0
SSelect_theta(0.01)_namuda(0.0),64,63,60,39,56,41,97,32,95,57,8,45,55,17,86,78,52,10,88,99,28,38,48,83,92,47,94,51,9,19,16,50,84,89,40,35,43,79,81,85,37,15,1,5,42,12,33,18,21,24,25,27,29,23,0,54,58,59,61,91,77,82,44,68,76,73,72,71,70,69,74,67,75,66,65,62,31,13,80,7,6,22,20,30,53,49,36,87,90,26,98,93,4,3,2,96,14,34,11,46
SSelect_theta(0.01)_namuda(0.1),64,63,41,60,56,39,45,78,32,86,17,57,8,55,95,97,88,52,10,28,99,83,84,19,50,47,51,94,92,9,16,34,43,40,35,79,81,37,85,33,15,12,29,27,5,25,42,1,24,21,18,23,0,77,54,58,59,91,61,82,44,73,68,74,72,71,70,69,66,67,75,65,62,76,31,13,89,80,7,6,49,20,48,30,22,38,53,36,93,96,2,3,4,90,98,87,26,11,14,46
SSelect_theta(0.01)_namuda(0.2),64,63,60,39,56,41,97,32,95,57,8,45,55,17,86,78,52,10,88,99,28,38,48,83,92,47,94,51,9,19,16,50,84,89,40,35,43,79,81,85,37,15,1,5,42,12,33,18,21,24,25,27,29,23,0,54,58,59,61,91,77,82,44,68,76,73,72,71,70,69,74,67,75,66,65,62,31,13,80,7,6,22,20,30,53,49,36,87,90,26,98,93,4,3,2,96,14,34,11,46
SSelect_theta(0.01)_namuda(0.30000000000000004),60,41,64,63,56,39,32,86,78,45,8,57,55,95,97,17,88,52,38,28,99,83,84,19,50,47,51,94,92,9,16,43,40,79,81,35,85,37,15,12,33,29,18,5,27,42,25,1,24,21,23,0,77,82,54,58,59,61,91,44,68,75,73,72,71,70,69,74,76,66,65,62,67,31,10,89,13,7,80,6,48,20,30,53,22,49,36,26,87,98,93,4,3,2,96,90,14,11,34,46
SSelect_theta(0.01)_namuda(0.4),41,64,63,39,56,60,78,32,86,17,57,8,55,95,45,97,88,52,28,99,48,83,84,50,19,51,47,94,92,9,89,16,43,40,79,35,81,37,85,42,1,18,21,24,25,27,5,33,29,15,12,23,0,54,58,59,61,77,91,82,44,73,68,74,72,71,70,69,66,67,75,65,62,76,31,10,13,80,7,6,49,20,38,30,53,22,36,96,2,3,4,93,90,87,26,98,34,11,14,46
SSelect_theta(0.01)_namuda(0.5),56,41,64,39,63,60,55,8,95,17,86,32,78,97,57,52,10,88,99,83,38,28,34,47,50,45,92,16,84,19,94,9,40,35,81,79,43,37,85,5,42,1,21,15,12,24,33,18,29,27,25,23,0,77,91,54,58,59,61,82,44,73,68,74,72,71,70,69,66,67,75,65,62,76,31,13,89,80,7,6,49,20,48,30,22,53,51,36,93,96,2,3,4,90,98,87,26,11,14,46
SSelect_theta(0.01)_namuda(0.6000000000000001),63,56,41,64,60,39,17,97,32,95,55,57,8,78,86,10,88,52,28,99,48,83,84,45,19,50,47,51,94,92,9,16,43,40,79,35,81,37,85,42,18,21,24,1,25,5,27,33,29,15,12,23,0,54,58,59,61,77,91,82,44,73,68,74,72,71,70,69,66,67,75,65,62,76,31,13,89,80,7,6,49,20,38,30,53,22,36,96,2,3,4,93,90,87,26,98,34,11,14,46
SSelect_theta(0.01)_namuda(0.7000000000000001),56,63,64,39,41,60,17,78,8,95,55,45,86,57,32,97,52,88,99,38,83,48,28,51,50,47,9,89,84,19,94,92,16,40,81,79,35,43,37,85,5,42,1,21,15,12,24,33,18,29,27,25,23,0,77,82,54,58,59,61,91,44,76,70,69,68,73,65,67,66,72,62,74,75,71,31,10,13,7,80,6,22,49,20,30,53,36,87,90,26,98,93,4,3,2,96,11,34,14,46
SSelect_theta(0.01)_namuda(0.8),41,64,63,56,39,60,17,32,86,45,8,57,55,95,97,78,88,52,28,99,83,84,50,19,51,47,94,92,16,9,34,81,43,40,79,35,85,37,15,12,33,29,27,5,25,42,24,1,21,18,23,0,77,82,54,58,59,61,91,44,68,75,73,72,71,70,69,74,76,66,65,62,67,31,10,89,13,7,80,6,48,20,30,53,38,22,49,36,26,87,98,93,4,3,2,96,90,11,14,46
SSelect_theta(0.01)_namuda(0.9),60,63,64,39,41,56,78,57,45,86,8,17,95,32,97,55,10,88,52,99,38,83,28,51,34,50,47,16,84,92,19,94,9,79,81,35,40,43,37,85,5,1,42,24,15,12,25,18,33,29,21,27,23,0,77,82,91,54,58,59,61,44,76,70,69,68,73,62,67,66,65,72,74,75,71,31,13,89,7,80,6,22,49,20,30,48,53,36,87,90,26,98,93,4,3,2,96,11,14,46
SSelect_theta(0.01)_namuda(1.0),99,36,26,27,28,29,30,31,32,33,34,35,37,98,38,39,40,41,42,43,44,45,46,47,25,24,23,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,48,49,50,75,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,76,74,51,73,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,0
SSelect_theta(0.1)_namuda(0.0),60,39,64,56,41,63,57,55,86,8,78,95,32,97,17,52,88,99,38,83,28,47,51,34,50,45,84,19,92,16,9,94,79,81,43,40,35,37,85,5,42,12,1,23,15,25,18,33,29,21,27,24,0,77,82,54,58,59,61,91,44,69,76,75,73,72,71,70,74,67,66,65,62,68,10,31,14,80,89,13,7,6,49,20,30,22,48,53,36,90,87,26,98,93,4,3,2,96,11,46
SSelect_theta(0.1)_namuda(0.1),41,64,39,56,63,60,17,8,95,55,45,32,57,78,97,86,52,10,88,99,38,83,48,28,51,50,47,92,16,84,94,19,9,43,40,35,79,81,85,37,42,5,1,24,15,12,25,18,33,29,21,27,23,0,77,82,54,58,59,61,91,44,76,70,69,68,73,65,67,66,72,62,74,75,71,31,13,89,7,80,6,22,49,20,30,53,36,87,90,26,98,93,4,3,2,96,11,34,14,46
SSelect_theta(0.1)_namuda(0.2),41,64,39,56,63,60,17,8,95,55,45,32,57,78,97,86,52,10,88,99,38,83,48,28,51,50,47,92,16,84,94,19,9,43,40,35,79,81,85,37,42,5,1,24,15,12,25,18,33,29,21,27,23,0,77,82,54,58,59,61,91,44,76,70,69,68,73,65,67,66,72,62,74,75,71,31,13,89,7,80,6,22,49,20,30,53,36,87,90,26,98,93,4,3,2,96,11,34,14,46
SSelect_theta(0.1)_namuda(0.30000000000000004),60,39,64,56,41,63,57,55,86,8,78,95,32,97,17,52,88,99,38,83,28,47,51,34,50,45,84,19,92,16,9,94,79,81,43,40,35,37,85,5,42,12,1,23,15,25,18,33,29,21,27,24,0,77,82,54,58,59,61,91,44,69,76,75,73,72,71,70,74,67,66,65,62,68,10,31,14,80,89,13,7,6,49,20,30,22,48,53,36,90,87,26,98,93,4,3,2,96,11,46
SSelect_theta(0.1)_namuda(0.4),63,60,64,39,56,41,57,78,86,8,17,95,32,97,55,10,88,52,99,38,83,28,45,51,34,50,47,16,84,92,19,94,9,79,81,35,40,43,37,85,5,1,42,24,15,12,25,18,33,29,21,27,23,0,77,91,54,58,59,61,82,44,74,73,70,69,68,62,67,66,65,72,75,76,71,31,14,13,80,89,7,6,22,49,20,30,53,48,36,26,87,90,98,93,4,3,2,96,11,46
SSelect_theta(0.1)_namuda(0.5),41,63,60,39,56,64,78,17,8,32,97,86,57,95,55,10,88,52,28,38,48,83,99,92,16,19,94,45,47,84,51,50,9,34,40,35,43,79,81,85,37,1,5,42,12,15,33,18,21,23,25,27,29,24,0,77,61,82,91,54,58,59,44,75,65,66,67,76,68,69,70,62,71,72,73,74,31,14,7,13,6,80,89,22,20,30,53,49,36,26,87,90,98,93,4,3,2,96,46,11
