index name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
SSelect_theta(0.001)_namuda(0.0),68,38,32,64,60,36,56,40,70,62,44,72,66,74,42,58,34,76,67,80,30,54,18,78,86,88,63,84,26,69,46,45,50,28,61,82,65,52,55,20,39,22,41,43,57,89,83,81,37,53,35,71,48,16,85,24,59,51,73,87,47,49,75,14,4,33,12,10,77,19,21,79,0,2,6,8,13,25,29,23,31,17,7,15,1,9,3,5,11,27
SSelect_theta(0.001)_namuda(0.1),38,66,68,32,56,64,76,42,44,40,60,36,74,62,58,34,30,70,80,72,78,84,46,18,67,65,54,86,63,89,88,61,82,55,28,22,59,50,52,45,41,20,69,48,26,75,43,81,24,39,87,37,85,83,35,4,53,49,71,14,57,47,73,2,77,16,51,33,12,0,19,10,21,79,8,6,31,25,23,13,17,9,15,5,11,7,27,1,29,3
SSelect_theta(0.001)_namuda(0.2),38,68,66,32,40,64,34,44,72,36,62,56,30,42,60,67,74,76,70,80,58,54,78,46,63,84,86,65,50,52,69,28,88,82,26,89,45,22,48,59,61,39,18,51,41,83,20,24,55,87,81,35,71,85,47,16,43,53,57,37,14,73,49,77,6,33,75,4,79,12,2,10,21,0,8,19,31,23,29,13,17,9,15,25,7,1,11,3,5,27
SSelect_theta(0.001)_namuda(0.30000000000000004),32,40,64,56,58,68,38,42,70,36,62,44,66,72,74,76,67,60,78,54,65,30,34,46,84,80,18,86,55,63,89,50,69,28,82,61,52,45,88,39,26,41,24,22,43,20,81,59,71,48,4,35,75,83,37,85,47,53,51,87,57,14,73,0,16,49,33,2,77,19,79,10,12,13,6,31,21,8,23,17,29,25,9,15,7,1,11,5,3,27
SSelect_theta(0.001)_namuda(0.4),66,38,40,32,34,68,56,64,36,62,76,30,58,44,70,72,60,67,42,78,80,74,54,63,84,82,26,65,86,89,61,69,50,46,52,88,28,49,22,45,18,37,71,20,85,43,59,39,24,41,81,55,48,53,4,35,87,51,16,57,47,83,73,77,2,75,79,6,14,10,19,12,33,0,21,31,8,29,23,17,15,9,5,11,25,1,13,3,7,27
SSelect_theta(0.001)_namuda(0.5),38,66,32,56,68,64,36,40,70,58,42,72,44,34,30,62,80,67,74,60,78,46,84,52,76,61,63,54,65,45,86,82,50,26,22,69,28,39,88,18,71,20,16,55,37,59,81,43,89,85,48,35,41,53,49,4,75,24,57,77,14,51,0,83,87,10,2,47,19,79,73,6,12,33,21,8,25,31,29,17,13,23,15,9,5,11,1,3,7,27
SSelect_theta(0.001)_namuda(0.6000000000000001),66,38,56,32,68,64,74,44,70,36,62,42,40,72,30,60,58,80,76,84,86,65,34,46,67,50,63,54,78,88,52,20,69,89,48,28,45,39,82,18,59,75,61,24,22,81,43,26,37,71,53,14,41,55,47,85,57,16,49,73,87,6,35,77,83,2,0,4,19,21,79,33,51,10,12,31,8,23,13,29,17,25,15,9,11,7,1,3,5,27
SSelect_theta(0.001)_namuda(0.7000000000000001),38,68,64,32,66,70,56,40,72,60,44,36,34,42,76,74,30,62,58,80,54,65,67,86,84,61,82,28,78,63,55,22,89,52,50,39,26,46,88,45,24,18,69,37,20,81,83,77,59,41,14,16,57,48,71,53,87,85,43,4,47,75,51,73,35,2,10,79,0,33,12,49,6,19,21,8,29,31,23,13,25,15,17,9,1,5,3,7,11,27
SSelect_theta(0.001)_namuda(0.8),66,64,40,68,38,32,62,44,70,36,72,58,67,74,30,56,80,60,42,54,84,88,76,63,34,86,82,78,46,55,26,28,69,89,52,45,65,20,50,18,22,83,39,43,35,59,49,48,71,61,53,85,37,4,57,73,24,41,77,75,87,51,81,47,0,14,6,2,33,19,12,10,79,16,21,25,8,31,23,15,17,9,11,5,27,1,13,29,3,7
SSelect_theta(0.001)_namuda(0.9),38,32,66,40,64,68,36,44,62,58,42,72,70,74,56,76,67,30,46,60,34,65,80,78,54,84,89,28,63,88,69,50,86,45,82,26,22,20,18,85,39,52,49,61,59,75,47,24,37,43,55,48,71,73,10,4,41,35,51,16,53,81,33,12,2,0,77,57,14,83,79,87,19,6,21,8,13,25,31,23,15,17,29,9,11,1,5,7,3,27
SSelect_theta(0.001)_namuda(1.0),89,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,23,21,88,20,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,43,44,45,46,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,68,67,66,55,47,48,49,50,51,52,53,54,56,65,57,58,59,60,61,62,63,64,0
SSelect_theta(0.01)_namuda(0.0),66,32,64,40,68,38,56,70,58,34,36,62,72,44,30,80,60,76,74,42,67,78,46,54,65,63,86,84,45,26,22,82,89,61,28,52,41,50,81,18,20,39,88,59,71,55,69,83,48,24,37,53,85,35,75,43,51,73,49,16,47,4,57,2,87,14,33,19,79,12,77,0,6,10,21,13,8,31,17,25,29,23,9,15,5,3,7,1,11,27
SSelect_theta(0.01)_namuda(0.1),32,64,68,38,36,66,62,72,44,56,40,42,76,34,67,70,74,80,60,58,30,82,84,54,65,63,88,78,28,22,45,52,20,46,48,89,26,50,86,69,18,71,59,39,47,55,49,81,16,57,51,41,43,53,61,37,87,73,85,35,24,83,75,12,6,33,19,4,77,14,79,2,10,0,21,8,29,23,31,25,9,13,15,17,1,11,5,7,27,3
SSelect_theta(0.01)_namuda(0.2),66,40,68,56,64,38,32,58,36,42,44,62,67,30,74,70,34,76,60,72,54,84,86,80,63,89,78,46,26,88,61,65,69,50,55,45,28,22,20,35,18,39,82,59,41,52,24,81,37,0,57,77,71,43,85,49,16,47,83,73,75,14,48,51,53,4,6,87,19,2,12,8,10,79,33,21,31,25,13,29,17,23,9,15,11,7,1,5,3,27
SSelect_theta(0.01)_namuda(0.30000000000000004),38,64,66,40,56,32,70,58,36,42,68,74,34,44,30,76,62,60,72,80,78,88,86,54,84,52,63,82,22,61,46,55,28,69,65,26,89,50,24,48,20,18,45,41,67,71,43,39,35,83,49,85,59,81,57,37,53,4,47,16,51,77,14,73,75,87,2,0,33,10,79,19,21,12,6,8,25,23,31,13,17,15,29,5,1,3,11,7,9,27
SSelect_theta(0.01)_namuda(0.4),32,40,64,60,56,68,34,36,38,72,62,66,76,74,42,70,54,80,44,58,82,84,30,86,67,63,88,65,78,28,61,46,69,50,52,22,39,41,18,81,45,26,59,55,43,24,20,83,89,53,49,37,71,35,16,87,77,75,57,14,85,47,51,4,48,6,12,73,2,10,0,79,21,31,19,33,8,23,25,17,29,13,9,15,11,1,7,27,5,3
SSelect_theta(0.01)_namuda(0.5),64,32,38,36,34,68,66,56,62,44,74,70,40,30,67,60,76,42,54,58,80,72,84,46,63,86,28,69,88,50,78,65,52,45,61,39,82,22,16,20,59,26,18,24,48,4,89,49,35,37,14,47,55,41,57,71,53,43,85,81,75,87,83,51,73,33,77,19,10,6,79,21,12,0,8,2,25,29,23,17,31,13,11,27,9,5,1,7,15,3
SSelect_theta(0.01)_namuda(0.6000000000000001),66,38,32,68,64,40,56,42,44,60,70,36,34,62,84,58,72,67,74,76,30,80,78,28,54,86,63,46,69,82,89,61,50,26,88,22,65,41,52,48,39,59,20,45,35,71,75,43,81,18,37,85,55,51,24,57,53,83,47,73,4,16,49,2,87,77,10,19,79,12,14,0,33,6,21,23,8,31,25,17,13,9,7,15,27,11,29,3,1,5
SSelect_theta(0.01)_namuda(0.7000000000000001),66,38,64,40,32,70,36,56,68,44,34,60,30,42,80,74,58,76,72,62,67,78,84,63,54,26,61,69,45,88,46,22,28,39,86,65,52,41,55,50,82,18,48,81,20,83,89,59,53,16,37,35,49,47,77,75,24,71,87,57,73,85,43,14,2,4,12,51,79,33,0,10,19,6,8,21,31,17,23,13,25,15,29,9,7,1,3,5,11,27
SSelect_theta(0.01)_namuda(0.8),38,68,66,64,32,40,58,56,44,36,42,74,72,60,30,67,70,34,62,54,84,80,76,28,63,78,22,69,86,26,65,89,20,61,82,45,46,50,41,48,52,88,18,55,81,35,47,83,24,39,16,59,57,71,37,75,43,87,85,4,77,73,53,14,49,51,79,33,19,12,10,2,8,0,6,21,25,31,23,13,9,15,17,1,29,5,7,11,3,27
SSelect_theta(0.01)_namuda(0.9),68,38,64,32,66,70,40,42,56,34,58,72,62,44,36,74,60,67,80,30,84,76,54,63,82,86,52,61,78,88,26,65,69,45,50,46,28,35,39,41,18,22,20,81,49,89,47,55,16,37,85,57,71,83,48,53,24,43,73,87,4,51,75,59,33,14,8,77,0,2,12,19,10,6,79,25,21,31,17,23,13,15,9,29,7,5,11,1,3,27
SSelect_theta(0.01)_namuda(1.0),12,16,20,10,8,80,4,0,14,18,24,78,76,6,3,1,2,68,70,72,22,74,82,5,30,60,28,26,36,38,64,34,84,66,86,32,7,62,56,88,75,57,83,11,9,40,17,58,15,54,13,85,43,39,89,42,44,21,19,73,81,55,41,37,52,87,48,47,45,49,53,35,65,33,69,23,25,79,77,46,50,67,27,59,29,63,31,61,51,71
SSelect_theta(0.1)_namuda(0.0),66,64,40,56,38,32,36,62,70,74,30,68,76,44,42,80,34,60,67,72,58,54,86,63,84,88,65,61,22,69,39,82,78,50,46,26,52,28,20,71,45,43,18,24,89,16,81,49,2,53,41,59,48,55,35,4,87,37,73,57,14,51,47,12,83,75,85,77,0,19,79,10,33,6,21,8,31,29,25,23,17,9,15,5,1,13,27,7,3,11
SSelect_theta(0.1)_namuda(0.1),66,32,38,64,68,44,56,34,40,62,72,70,30,42,36,74,80,67,60,76,46,78,58,54,84,50,63,61,65,86,69,24,55,28,26,52,22,82,41,45,81,18,83,88,20,39,35,51,89,47,59,77,75,87,16,37,43,85,6,48,14,73,57,71,2,4,12,53,33,19,49,8,10,79,0,21,31,29,17,13,23,25,15,9,11,1,3,27,5,7
SSelect_theta(0.1)_namuda(0.2),66,32,56,40,38,64,68,58,74,62,42,36,72,44,70,34,67,30,80,60,63,84,76,46,78,50,54,88,26,86,69,82,22,28,65,59,52,45,39,61,55,43,24,18,48,20,89,71,81,85,41,14,16,87,83,35,47,57,37,4,51,73,75,53,0,6,77,33,10,79,49,12,2,19,21,31,8,25,13,23,9,17,27,11,7,15,5,29,1,3
SSelect_theta(0.1)_namuda(0.30000000000000004),66,38,64,56,36,70,68,32,40,72,44,62,67,34,58,80,74,42,60,30,82,84,76,63,54,26,61,86,50,78,52,46,69,65,48,88,28,22,45,39,55,18,20,41,37,43,81,24,71,16,83,47,85,35,53,87,59,57,14,4,77,89,49,73,0,33,12,75,51,79,10,2,8,6,21,19,31,23,29,25,13,17,15,1,9,11,5,7,3,27
SSelect_theta(0.1)_namuda(0.4),64,38,66,62,36,40,42,56,44,70,68,32,72,34,67,30,74,60,54,58,80,76,61,86,63,26,65,84,78,69,52,88,45,82,46,28,50,18,55,37,39,75,81,22,41,49,20,89,48,59,53,85,16,24,4,43,35,57,71,47,83,87,73,14,19,6,51,12,0,77,2,21,33,79,10,8,31,25,29,13,23,17,15,9,5,1,3,11,7,27
SSelect_theta(0.1)_namuda(0.5),38,68,32,56,64,40,66,70,62,44,36,72,74,76,60,30,34,67,78,58,42,80,84,63,54,89,46,82,65,28,69,26,48,86,61,24,88,20,22,81,55,45,18,71,39,37,59,41,35,47,52,53,85,43,57,16,14,73,51,83,4,75,50,87,19,6,77,79,12,2,49,0,33,21,25,31,10,29,8,17,13,23,15,9,1,7,11,3,5,27
SSelect_theta(0.1)_namuda(0.6000000000000001),66,40,32,38,56,64,68,36,34,72,44,70,30,42,78,74,84,58,54,62,67,80,76,60,86,61,89,63,45,26,82,69,52,65,28,39,88,50,22,71,46,41,49,18,43,20,48,24,81,53,37,75,83,55,35,85,87,14,59,57,51,73,2,33,47,0,4,16,6,77,12,21,31,19,79,10,8,25,9,13,23,17,15,11,27,1,7,3,5,29
SSelect_theta(0.1)_namuda(0.7000000000000001),38,32,56,68,40,44,64,62,66,42,72,54,74,30,36,76,70,58,80,34,60,78,18,84,67,63,65,86,82,41,50,88,45,61,52,26,28,39,22,46,55,20,43,59,75,69,48,14,89,37,87,51,4,35,71,83,24,77,53,85,81,73,57,47,16,2,19,10,0,79,33,49,12,6,21,31,8,17,13,25,23,9,15,5,1,11,27,29,7,3
SSelect_theta(0.1)_namuda(0.8),68,32,64,66,62,36,38,42,56,40,44,70,30,34,67,76,74,60,80,84,72,58,54,65,46,78,86,63,50,69,45,28,26,82,88,22,18,48,20,55,39,37,41,83,59,61,14,24,52,49,89,81,85,16,43,53,35,71,57,75,2,4,47,51,87,33,6,19,12,73,77,0,79,10,8,21,31,25,13,23,17,15,29,9,1,11,5,7,27,3
SSelect_theta(0.1)_namuda(0.9),40,64,32,66,62,56,38,68,36,70,34,72,44,30,60,58,67,80,54,76,42,86,74,84,78,89,26,52,63,88,61,50,69,41,22,28,45,82,46,18,65,59,55,20,71,16,81,24,39,37,57,43,48,35,14,53,83,51,47,33,73,49,4,0,87,85,75,77,10,19,79,12,2,6,21,8,23,31,25,13,29,17,15,11,1,9,7,5,3,27
SSelect_theta(0.1)_namuda(1.0),39,47,37,53,61,43,81,49,51,55,41,63,59,67,45,79,69,57,35,65,89,86,88,30,71,84,83,38,60,27,23,1,73,87,33,62,3,0,36,32,77,15,2,5,34,85,10,58,54,28,82,9,29,17,13,7,25,26,12,8,4,14,21,40,11,6,64,56,80,22,75,16,31,44,72,24,68,78,20,42,19,70,76,52,66,18,74,50,46,48
SSelect_theta(1)_namuda(0.0),38,66,68,56,36,34,64,40,44,42,70,62,58,32,72,74,30,80,60,63,76,86,48,84,54,82,46,67,52,78,88,50,61,39,22,65,26,28,69,45,20,55,83,18,4,71,41,89,14,37,59,43,85,35,87,53,47,24,73,49,16,75,79,57,81,51,33,12,0,2,77,6,19,21,10,25,8,13,23,17,11,15,31,29,9,1,5,7,3,27
SSelect_theta(1)_namuda(0.1),38,32,64,36,66,40,68,44,42,62,70,56,30,74,34,60,67,72,63,58,80,84,76,46,61,54,45,65,55,78,69,89,88,28,86,52,26,59,50,43,41,22,39,57,82,53,20,18,49,51,87,71,48,81,37,35,85,75,47,24,73,14,77,33,19,83,4,16,2,12,79,10,6,0,23,21,29,8,25,13,31,9,15,17,5,1,11,3,27,7
