index name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
SSelect_theta(0.001)_namuda(0.0),0,1,21,36,35,34,19,37,29,28,2,27,11,10,23,26,8,32,9,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,42,41,18,43,24,25
SSelect_theta(0.001)_namuda(0.1),1,21,36,34,35,0,19,37,29,28,27,11,10,26,23,2,8,32,9,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.001)_namuda(0.2),1,36,21,34,35,27,0,19,37,29,28,2,11,10,26,23,8,32,9,17,20,33,4,16,30,12,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.001)_namuda(0.30000000000000004),0,1,21,36,35,34,19,37,29,28,2,27,11,10,23,26,8,32,9,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,42,41,18,43,24,25
SSelect_theta(0.001)_namuda(0.4),0,1,21,36,35,34,27,19,37,28,29,2,11,10,26,8,32,9,23,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,42,41,18,43,24,25
SSelect_theta(0.001)_namuda(0.5),1,21,36,34,35,0,19,37,29,28,27,11,10,26,23,2,8,32,9,17,20,33,12,30,4,16,31,13,14,38,7,5,15,3,6,39,40,41,42,18,22,43,24,25
SSelect_theta(0.001)_namuda(0.6000000000000001),1,36,21,34,35,0,19,37,29,28,11,27,10,26,2,8,32,9,23,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.001)_namuda(0.7000000000000001),0,21,1,36,35,34,27,19,37,28,29,2,11,26,10,23,8,32,9,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,41,42,18,43,24,25
SSelect_theta(0.001)_namuda(0.8),1,36,21,34,35,0,19,37,29,28,11,27,10,26,23,2,8,32,9,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.001)_namuda(0.9),0,21,1,36,35,34,19,37,28,29,27,11,10,2,26,32,8,9,23,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,41,42,18,43,24,25
SSelect_theta(0.001)_namuda(1.0),43,42,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,20,21,22,33,41,40,39,38,37,36,35,34,32,23,31,30,29,28,27,26,25,24,0
SSelect_theta(0.01)_namuda(0.0),0,21,1,36,35,34,19,37,28,29,2,11,27,26,10,23,8,32,9,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,41,42,18,43,24,25
SSelect_theta(0.01)_namuda(0.1),1,36,21,34,35,0,19,37,29,28,27,11,10,26,23,2,8,32,9,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.01)_namuda(0.2),1,21,36,34,35,0,19,37,29,28,11,27,10,26,2,8,32,9,23,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.01)_namuda(0.30000000000000004),0,1,21,36,35,34,19,37,29,28,11,27,10,26,23,2,8,32,9,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,42,41,18,43,24,25
SSelect_theta(0.01)_namuda(0.4),0,21,1,36,35,34,19,37,28,29,2,27,11,26,10,32,8,9,23,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,41,42,18,43,24,25
SSelect_theta(0.01)_namuda(0.5),1,36,21,34,35,27,0,19,37,29,28,11,10,26,23,2,8,32,9,17,20,33,4,16,30,12,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.01)_namuda(0.6000000000000001),1,21,36,34,35,0,19,37,29,28,27,11,10,26,23,2,8,32,9,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.01)_namuda(0.7000000000000001),1,21,36,34,35,27,0,19,37,29,28,11,10,23,2,26,8,32,9,17,20,33,4,16,30,12,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.01)_namuda(0.8),1,36,21,34,35,0,19,37,29,28,27,11,10,26,2,8,32,9,23,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(0.01)_namuda(0.9),0,1,36,34,35,21,19,37,29,28,11,27,10,26,23,2,8,32,9,17,20,33,12,30,4,16,31,13,14,38,7,5,15,3,6,39,40,41,42,18,22,43,24,25
